file,homogeneous_blur,gaussian_blur,median_blur,bilateral_filtering,adaptive_threshold,simple_threshold,otsu_threshold,triangle_threshold,erosion,dilation,opening,closing,morphological_gradient,top_hat,black_hat,baseline
PT-TT-SNI-DSC-35-7-8197_m0867,40.0,37.5,0.0,44.44,46.51,39.02,38.46,54.17,40.0,40.0,40.0,40.0,22.95,44.44,43.14,40.0
PT-TT-SNI-DSC-35-7-8252_m0900,49.09,44.0,2.78,50.51,50.94,46.3,49.54,50.53,49.09,49.09,49.09,49.09,16.22,50.0,51.55,49.09
PT-TT-SNI-DSC-35-7-8268_m0914,56.92,56.7,28.34,56.15,56.68,54.12,56.25,57.81,56.92,56.92,56.92,56.92,31.3,56.92,57.81,56.92
PT-TT-SNI-DSC-35-7-8341_m0976,54.32,47.27,32.7,48.86,48.55,52.63,52.12,60.61,54.32,54.32,54.32,54.32,31.95,54.32,50.29,54.32
PT-TT-SNI-DSC-35-7-8360_m0998,15.91,23.0,4.82,18.39,23.19,22.22,15.12,22.22,15.91,15.91,15.91,15.91,5.48,15.91,19.05,15.91
PT-TT-SNI-DSC-35-7-8361_m0999,49.25,46.67,5.88,47.0,44.23,50.0,47.52,49.53,49.25,49.25,49.25,49.25,28.32,49.25,47.24,49.25
PT-TT-SNI-DSC-35-7-8361_m1000,52.27,42.86,0.0,51.69,47.06,53.66,53.33,50.55,52.27,52.27,52.27,52.27,19.57,54.95,45.78,52.27
PT-TT-SNI-DSC-35-7-8405_m1048,44.94,48.62,0.0,48.84,38.46,41.76,44.69,51.43,44.94,44.94,44.94,44.94,27.59,44.94,44.07,44.94
PT-TT-SNI-DSC-35-7-8409_m1052,48.98,48.78,31.84,51.26,50.26,53.4,53.12,48.85,48.98,48.98,48.98,48.98,31.75,48.98,49.45,48.98
PT-TT-SNI-DSC-35-7-8480_m1121,53.25,51.11,22.37,49.72,47.27,56.0,54.44,53.41,53.25,53.25,53.25,53.25,26.59,53.25,52.33,53.25
PT-TT-SNI-DSC-35-7-8510_m1158,33.93,39.11,3.17,36.68,39.63,37.1,37.5,42.59,33.93,33.93,33.93,33.93,23.36,33.93,38.53,33.93
PT-TT-SNI-DSC-35-7-8518_m1169,35.36,39.34,5.17,40.45,29.14,42.86,38.25,42.35,35.36,35.36,35.36,35.36,21.28,35.36,37.08,35.36
PT-TT-SNI-DSC-35-7-8658_m1303,61.94,64.15,0.0,63.24,58.78,65.15,60.97,63.16,61.94,61.94,61.94,61.94,45.76,63.36,60.74,61.94
PT-TT-SNI-DSC-35-7-8658_m1304,52.05,50.67,0.0,47.37,53.73,50.67,52.78,61.11,52.05,52.05,52.05,52.05,30.56,52.05,50.0,52.05
PT-TT-SNI-DSC-35-7-8658_m1305,71.05,69.8,64.29,75.52,72.6,74.32,70.59,73.61,71.05,71.05,71.05,71.05,49.28,75.52,68.87,71.05
PT-TT-SNI-DSC-35-7-8687_m1338,55.05,52.83,8.22,55.36,57.69,47.62,53.7,52.63,55.05,55.05,55.05,55.05,25.21,51.43,55.36,55.05
